X-Axis,10x Region 3
 9.97578E+02, 3.56171E+03
 9.99336E+02, 3.56441E+03
 1.00109E+03, 3.56600E+03
 1.00285E+03, 3.56826E+03
 1.00461E+03, 3.57083E+03
 1.00636E+03, 3.57328E+03
 1.00812E+03, 3.57263E+03
 1.00987E+03, 3.57408E+03
 1.01163E+03, 3.57578E+03
 1.01338E+03, 3.57667E+03
 1.01514E+03, 3.57796E+03
 1.01689E+03, 3.57865E+03
 1.01864E+03, 3.58083E+03
 1.02039E+03, 3.58059E+03
 1.02214E+03, 3.58127E+03
 1.02389E+03, 3.58412E+03
 1.02564E+03, 3.58537E+03
 1.02739E+03, 3.58372E+03
 1.02914E+03, 3.58684E+03
 1.03089E+03, 3.58697E+03
 1.03263E+03, 3.58792E+03
 1.03438E+03, 3.58779E+03
 1.03612E+03, 3.59033E+03
 1.03787E+03, 3.59430E+03
 1.03961E+03, 3.59669E+03
 1.04136E+03, 3.59970E+03
 1.04310E+03, 3.60067E+03
 1.04484E+03, 3.60183E+03
 1.04659E+03, 3.60526E+03
 1.04833E+03, 3.60924E+03
 1.05007E+03, 3.61100E+03
 1.05181E+03, 3.61207E+03
 1.05355E+03, 3.61223E+03
 1.05529E+03, 3.61127E+03
 1.05703E+03, 3.60930E+03
 1.05877E+03, 3.60588E+03
 1.06050E+03, 3.60436E+03
 1.06224E+03, 3.60056E+03
 1.06398E+03, 3.59816E+03
 1.06571E+03, 3.59479E+03
 1.06745E+03, 3.59341E+03
 1.06918E+03, 3.59366E+03
 1.07092E+03, 3.59504E+03
 1.07265E+03, 3.60103E+03
 1.07438E+03, 3.60974E+03
 1.07611E+03, 3.62050E+03
 1.07785E+03, 3.63285E+03
 1.07958E+03, 3.63929E+03
 1.08131E+03, 3.64584E+03
 1.08304E+03, 3.64689E+03
 1.08477E+03, 3.64518E+03
 1.08649E+03, 3.64610E+03
 1.08822E+03, 3.64056E+03
 1.08995E+03, 3.63655E+03
 1.09168E+03, 3.63002E+03
 1.09340E+03, 3.62520E+03
 1.09513E+03, 3.62422E+03
 1.09685E+03, 3.62337E+03
 1.09858E+03, 3.62492E+03
 1.10030E+03, 3.62481E+03
 1.10202E+03, 3.62902E+03
 1.10375E+03, 3.63145E+03
 1.10547E+03, 3.63729E+03
 1.10719E+03, 3.64102E+03
 1.10891E+03, 3.64195E+03
 1.11063E+03, 3.64406E+03
 1.11235E+03, 3.64777E+03
 1.11407E+03, 3.64637E+03
 1.11579E+03, 3.64575E+03
 1.11751E+03, 3.64532E+03
 1.11922E+03, 3.64398E+03
 1.12094E+03, 3.64596E+03
 1.12266E+03, 3.64884E+03
 1.12437E+03, 3.65216E+03
 1.12609E+03, 3.65432E+03
 1.12780E+03, 3.65619E+03
 1.12952E+03, 3.65887E+03
 1.13123E+03, 3.65449E+03
 1.13294E+03, 3.64773E+03
 1.13465E+03, 3.64178E+03
 1.13637E+03, 3.63632E+03
 1.13808E+03, 3.63202E+03
